Jno,Name,Position,Mins_played,Matchs,Start,Yellow,Red,Substitute,Subbed_off,Two_yellow,Goals,Penalty,Own_goals,Goals_conceded,Ratings,pos
1,A. Remiro,Goalkeeper,3420,38,38,1,0,0,0,0,0,0,0,35,6.99,0
1,C. Bravo,Goalkeeper,1080,12,12,2,0,0,0,0,0,0,0,9,7.15,0
1,Conan,Goalkeeper,3060,34,34,2,0,0,0,0,0,0,0,48,7.17,0
1,Courtois,Goalkeeper,2790,31,31,0,0,0,0,0,0,0,0,29,7.13,0
1,D. Mariño,Goalkeeper,45,1,0,0,0,1,0,0,0,0,0,2,6.5,0
1,Dimitrievski,Goalkeeper,3325,37,37,4,0,0,1,0,0,0,0,49,6.76,0
1,Dmitrovic,Goalkeeper,1268,15,13,2,0,2,0,0,0,0,0,13,7.0,0
1,Grbic,Goalkeeper,922,12,10,3,0,2,1,0,0,0,0,12,6.92,0
1,Juan Carlos,Goalkeeper,900,10,10,0,0,0,0,0,0,0,0,18,6.58,0
1,Marchesin,Goalkeeper,1710,19,19,3,0,0,0,0,0,0,0,29,6.76,0
1,Rajkovic,Goalkeeper,3240,36,36,3,0,0,0,0,0,0,0,40,6.88,0
1,Reina,Goalkeeper,1980,22,22,2,0,0,0,0,0,0,0,27,6.86,0
1,Ter Stegen,Goalkeeper,3348,38,38,0,0,0,2,0,0,0,0,18,7.15,0
1,Unai Simon,Goalkeeper,2745,31,31,2,0,0,1,0,0,0,0,37,6.79,0
2,A.sola,Defender,346,10,3,1,0,7,2,0,0,0,0,5,6.77,1
2,Bernardo,Defender,1225,20,14,5,0,6,4,0,1,0,0,26,6.68,1
2,Carvajal,Defender,1787,27,20,6,1,7,11,1,0,0,0,22,6.77,1
2,Djene,Defender,2844,33,33,10,1,0,3,0,0,0,0,39,6.65,1
2,G. Montiel,Defender,1521,28,17,8,1,11,8,0,0,0,0,28,6.58,1
2,J. M. Giménez,Defender,2421,28,26,9,0,2,0,0,2,0,0,21,7.17,1
2,Kaiky,Defender,581,13,7,5,0,6,4,0,0,0,0,13,6.65,1
2,Kiko F.,Defender,1136,20,13,0,0,7,8,0,0,0,0,14,6.81,1
2,Montoya,Defender,456,6,6,1,0,0,3,0,0,0,0,10,6.58,1
2,Morci,Forward,59,10,0,0,0,10,0,0,0,0,0,1,6.59,3
2,Raúl Parra,Defender,312,6,4,1,0,2,4,0,0,0,0,3,6.49,1
2,Raúl Parra,Defender,312,6,4,1,0,2,4,0,0,0,0,3,6.5,1
2,Thierry R.,Defender,2015,27,24,6,0,3,10,0,0,0,0,26,6.89,1
3,Alex Telles,Defender,1427,27,15,6,0,12,9,0,0,0,0,24,6.78,1
3,E. Militão,Defender,2703,33,30,4,0,3,2,0,5,0,0,29,7.24,1
3,Edgar,Defender,1770,25,18,4,2,7,1,2,0,0,0,20,6.7,1
3,F. Angileri,Defender,583,15,7,2,1,8,4,0,0,0,0,15,6.4,1
3,Fali,Defender,1719,25,22,6,0,3,11,0,0,0,0,25,6.74,1
3,Melero,Midfielder,1875,27,24,5,0,3,23,0,4,1,0,28,6.73,2
3,Miguel,Defender,2397,34,27,6,0,7,15,0,2,0,0,36,6.71,1
3,Mingueza,Defender,1284,21,13,2,0,8,5,0,0,0,0,20,6.7,1
3,R. Albiol,Defender,2119,25,24,6,0,1,2,0,0,0,0,23,6.95,1
3,Vivian,Defender,2373,29,26,8,1,3,0,0,1,0,0,24,6.85,1
3,Zubimendi,Midfielder,3101,36,35,12,0,1,2,0,1,0,0,34,6.9,2
4,Alaba,Defender,1840,23,21,3,0,2,5,0,1,0,0,18,6.86,1
4,Arnau,Defender,2735,33,32,11,0,1,7,0,3,0,0,49,6.79,1
4,Eguaras,Midfielder,957,25,10,6,0,15,6,0,1,0,0,19,6.68,2
4,Gaston,Defender,1501,22,16,8,1,6,6,0,2,0,0,15,6.65,1
4,K. Rekik,Defender,1184,16,15,2,0,1,5,0,1,0,1,16,6.69,1
4,M. Suárez,Defender,10,2,0,0,1,2,0,0,0,0,0,1,6.57,1
4,Musah,Midfielder,2121,33,26,10,1,7,18,0,0,0,0,26,6.57,2
4,Nuñez,Defender,3151,36,35,8,0,1,0,0,0,0,1,48,6.91,1
4,Pau,Defender,3055,34,34,10,0,0,1,0,1,0,1,35,7.04,1
4,Paul,Midfielder,441,12,3,3,0,9,1,0,0,0,0,6,6.78,2
4,R. Alcaraz,Midfielder,2047,31,22,10,0,9,11,0,3,2,0,26,6.72,2
4,R. Araujo,Defender,1803,22,21,6,1,1,4,0,0,0,1,5,7.03,1
5,David Lopez,Defender,1657,20,19,5,0,1,5,0,3,0,0,24,7.1,1
5,Dolberg,Forward,198,4,2,0,0,2,1,0,0,0,0,2,6.73,3
5,G. Rodriguez,Midfielder,2876,34,33,8,0,1,6,0,1,0,1,32,7.07,2
5,G.paulista,Defender,1504,21,18,2,2,3,3,1,1,0,0,24,6.79,1
5,J. Cuenca,Defender,503,10,5,1,0,5,1,0,0,0,0,7,6.8,1
5,L. Milla,Midfielder,1861,27,22,4,1,5,10,1,0,0,0,21,6.95,2
5,L. Ocampos,Midfielder,1163,19,11,7,0,8,5,0,4,3,0,20,6.73,2
5,M. Mbaye,Defender,754,14,7,2,0,7,1,0,0,0,0,17,6.61,1
5,R. De Paul,Midfielder,1934,30,24,5,0,6,19,0,2,0,0,20,7.2,2
5,Robertone,Midfielder,2859,37,34,7,0,3,22,0,2,0,0,47,7.12,2
5,Vallejo,Defender,21,1,0,0,0,1,0,0,0,0,0,0,6.5,1
5,Yeray,Defender,2337,28,27,7,1,1,5,0,1,0,0,30,6.97,1
5,Zubeldia,Midfielder,2547,31,29,10,0,2,5,0,1,0,1,26,6.87,2
6,Aritz,Defender,1450,25,16,5,1,9,7,0,0,0,0,14,6.53,1
6,Capoue,Midfielder,1958,28,22,4,0,6,10,0,3,0,0,26,6.86,2
6,Copete,Defender,2214,28,27,7,1,1,10,0,1,0,0,26,6.95,1
6,Domingos D.,Defender,2657,31,30,9,1,1,1,1,0,0,1,40,6.78,1
6,Gudelj,Midfielder,2777,34,31,8,0,3,3,0,3,0,0,46,6.96,2
6,Hugo G.,Defender,1633,25,19,5,0,6,8,0,1,1,1,23,6.79,1
6,Jose Mari,Midfielder,383,18,2,4,0,16,3,0,0,0,0,8,6.62,2
6,Koke,Midfielder,2559,33,30,4,0,3,18,0,0,0,0,24,6.88,2
